DATA_LOAD_ID,RAW_SRC_PK,RAW_SRC_PK_TYP,RAW_FK,RAW_FK_TYP,PRIMARY_NAME,BUS_NM_TYP
ALL_FDIC_201904,"1,324,832,668",PR_RECORD_ID,373,FDIC_CERT_NUM,FARMERS BANK OF SUNBURY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,669",PR_RECORD_ID,374,FDIC_CERT_NUM,BANK OF PITTSBORO,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,679",PR_RECORD_ID,396,FDIC_CERT_NUM,THE GNADENHUTTEN BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,701",PR_RECORD_ID,420,FDIC_CERT_NUM,BANK OF VICI,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,704",PR_RECORD_ID,425,FDIC_CERT_NUM,THE CITIZENS BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,708",PR_RECORD_ID,431,FDIC_CERT_NUM,THE BANK OF RED OAK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,715",PR_RECORD_ID,442,FDIC_CERT_NUM,MERCHANTS BANK (NORTH),PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,718",PR_RECORD_ID,445,FDIC_CERT_NUM,MERCER COUNTY STATE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,719",PR_RECORD_ID,450,FDIC_CERT_NUM,SAUCON VALLEY TRUST COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,724",PR_RECORD_ID,475,FDIC_CERT_NUM,CONTINENTAL BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,725",PR_RECORD_ID,480,FDIC_CERT_NUM,"FARMERS AND MERCHANTS BANK OF CHERRY TREE, PA.",PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,730",PR_RECORD_ID,492,FDIC_CERT_NUM,WESTERN DAKOTA BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,731",PR_RECORD_ID,493,FDIC_CERT_NUM,SECURITY STATE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,734",PR_RECORD_ID,497,FDIC_CERT_NUM,MARSHALL COUNTY BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,741",PR_RECORD_ID,505,FDIC_CERT_NUM,GREAT PLAINS BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,742",PR_RECORD_ID,506,FDIC_CERT_NUM,FIRST STATE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,744",PR_RECORD_ID,511,FDIC_CERT_NUM,COLUMBIA GORGE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,753",PR_RECORD_ID,526,FDIC_CERT_NUM,FARMERS STATE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,755",PR_RECORD_ID,530,FDIC_CERT_NUM,"FIRST NATIONAL BANK, TORRINGTON",PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,756",PR_RECORD_ID,536,FDIC_CERT_NUM,THE STATE BANK OF NORTH JERSEY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,761",PR_RECORD_ID,544,FDIC_CERT_NUM,FORT LEE TRUST COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,765",PR_RECORD_ID,552,FDIC_CERT_NUM,UNITED COUNTIES TRUST COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,767",PR_RECORD_ID,570,FDIC_CERT_NUM,RIDGEFIELD PARK TRUST COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,768",PR_RECORD_ID,571,FDIC_CERT_NUM,"COMMUNITY BANK OF BERGEN COUNTY, N. J.",PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,770",PR_RECORD_ID,576,FDIC_CERT_NUM,SUBURBAN TRUST COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,772",PR_RECORD_ID,580,FDIC_CERT_NUM,MONTGOMERY COUNTY TRUST COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,783",PR_RECORD_ID,609,FDIC_CERT_NUM,TOMPKINS TRUST COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,785",PR_RECORD_ID,613,FDIC_CERT_NUM,KINGSTON TRUST COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,797",PR_RECORD_ID,640,FDIC_CERT_NUM,IBJ WHITEHALL BANK & TRUST COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,799",PR_RECORD_ID,642,FDIC_CERT_NUM,MARINE MIDLAND BANK - NEW YORK,PRIMARY_BANK_NAME
